family_id,sample_id,blind_item_id,lemma,group,initial,frequency_stratum,frequency_count,contextual_diversity_count,target_code,target_subdomain,annotation_provenance
EF002-CD0292C307D6,UNI-EXP-002-S0029,SCT002-0208,wildcat,W,W,high,158.0,41.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-FE1606C3ADA9,UNI-EXP-002-S0030,SCT002-0131,wide,W,W,high,1347.0,982.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-ECA82C89593F,UNI-EXP-002-S0031,SCT002-0098,wattle,W,W,high,50.0,28.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-F626F0EBA647,UNI-EXP-002-S0032,SCT002-0311,warfare,W,W,high,150.0,115.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-FEDACA193778,UNI-EXP-002-S0033,SCT002-0035,whammy,W,W,high,34.0,23.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-EE89B36D1F83,UNI-EXP-002-S0034,SCT002-0100,wily,W,W,high,32.0,28.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-F93CB75C8C18,UNI-EXP-002-S0035,SCT002-0126,warship,W,W,high,81.0,30.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-97611DE594B3,UNI-EXP-002-S0036,SCT002-0242,willfully,W,W,high,26.0,25.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-95B36D2F0DCB,UNI-EXP-002-S0037,SCT002-0064,womanhood,W,W,high,39.0,37.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-8125F65F6566,UNI-EXP-002-S0038,SCT002-0331,whim,W,W,high,158.0,96.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-F475139A1E0D,UNI-EXP-002-S0039,SCT002-0075,westward,W,W,high,24.0,24.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-BCBD9715DBFE,UNI-EXP-002-S0040,SCT002-0006,wonderfully,W,W,high,114.0,110.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-2C3BE5B22BE1,UNI-EXP-002-S0041,SCT002-0113,wholehearted,W,W,middle,4.0,4.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-149E8007EDF4,UNI-EXP-002-S0042,SCT002-0060,waistline,W,W,middle,24.0,14.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-1A6DAAADFF6A,UNI-EXP-002-S0043,SCT002-0005,woodworking,W,W,middle,5.0,4.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-3CE3F0EB9485,UNI-EXP-002-S0044,SCT002-0159,wrongdoer,W,W,middle,6.0,5.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-7E18183EB39B,UNI-EXP-002-S0045,SCT002-0054,wrangle,W,W,middle,23.0,16.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-D5EEAC3292F8,UNI-EXP-002-S0046,SCT002-0187,whereof,W,W,middle,10.0,9.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-AAA81861D850,UNI-EXP-002-S0047,SCT002-0103,wishbone,W,W,middle,26.0,17.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-2E2B27197CBD,UNI-EXP-002-S0048,SCT002-0015,watercress,W,W,middle,4.0,4.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-BB541A1C309A,UNI-EXP-002-S0049,SCT002-0272,weensy,W,W,middle,6.0,5.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-0B8E8C28629E,UNI-EXP-002-S0050,SCT002-0253,wayside,W,W,middle,13.0,13.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-B177FE452564,UNI-EXP-002-S0051,SCT002-0267,wistful,W,W,middle,9.0,9.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-22ABEED1F01D,UNI-EXP-002-S0052,SCT002-0259,whittle,W,W,middle,48.0,17.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-FEDE667F5C65,UNI-EXP-002-S0053,SCT002-0236,whippoorwill,W,W,middle,27.0,14.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-0CE5F1AD0371,UNI-EXP-002-S0054,SCT002-0129,whodunit,W,W,middle,10.0,7.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-CEE36910CF67,UNI-EXP-002-S0055,SCT002-0205,wetness,W,W,middle,6.0,6.0,1,B,AI_A_AI_B_AGREEMENT
EF002-0781C13BCADE,UNI-EXP-002-S0056,SCT002-0008,wurst,W,W,middle,4.0,3.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-230E53250907,UNI-EXP-002-S0057,SCT002-0220,wineglass,W,W,middle,5.0,3.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-97ED218C20BC,UNI-EXP-002-S0058,SCT002-0173,warty,W,W,middle,4.0,3.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-B94D10AEC8E7,UNI-EXP-002-S0059,SCT002-0199,wt,W,W,middle,5.0,5.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-99DAFD18BF30,UNI-EXP-002-S0060,SCT002-0194,whitewash,W,W,middle,36.0,20.0,2,NONE,AI_C_ADJUDICATION
EF002-3F53B353D2CE,UNI-EXP-002-S0061,SCT002-0294,wimple,W,W,middle,8.0,6.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-21E831A94C53,UNI-EXP-002-S0062,SCT002-0180,warmly,W,W,middle,24.0,19.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-73BD914E483C,UNI-EXP-002-S0063,SCT002-0088,weet,W,W,middle,28.0,3.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-DDD6F48F7B3D,UNI-EXP-002-S0064,SCT002-0232,windup,W,W,middle,11.0,10.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-B51A2D749190,UNI-EXP-002-S0065,SCT002-0168,womanly,W,W,middle,8.0,8.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-4AB15E1B2E5B,UNI-EXP-002-S0066,SCT002-0221,whop,W,W,middle,15.0,9.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-6D3978E082F4,UNI-EXP-002-S0067,SCT002-0106,whinny,W,W,middle,91.0,19.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-F74BE2AEB45C,UNI-EXP-002-S0068,SCT002-0109,wren,W,W,middle,20.0,10.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-E2A0AE57B6E0,UNI-EXP-002-S0069,SCT002-0138,warble,W,W,middle,15.0,6.0,1,C,AI_A_AI_B_AGREEMENT
EF002-3CABBA01FC54,UNI-EXP-002-S0070,SCT002-0289,wholesomeness,W,W,middle,5.0,5.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-4CF59D2E0082,UNI-EXP-002-S0071,SCT002-0154,waggle,W,W,middle,29.0,10.0,1,C,AI_A_AI_B_AGREEMENT
EF002-F4A89C31C12F,UNI-EXP-002-S0072,SCT002-0097,woeful,W,W,middle,7.0,6.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-0F6D65714D70,UNI-EXP-002-S0073,SCT002-0055,whereabout,W,W,middle,6.0,5.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-E0DD01DF78CF,UNI-EXP-002-S0074,SCT002-0155,workaday,W,W,middle,6.0,6.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-9C2B68943ECF,UNI-EXP-002-S0075,SCT002-0094,wunderkind,W,W,middle,4.0,4.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-26CE576D2063,UNI-EXP-002-S0076,SCT002-0266,weal,W,W,middle,5.0,5.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-CF500C0A6C1F,UNI-EXP-002-S0077,SCT002-0264,wetland,W,W,middle,47.0,11.0,1,A,AI_A_AI_B_AGREEMENT
EF002-9DD4191A628D,UNI-EXP-002-S0078,SCT002-0057,whitewalls,W,W,middle,6.0,5.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-E642E1F89AB0,UNI-EXP-002-S0079,SCT002-0237,worrier,W,W,middle,15.0,15.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-4C848E55FD42,UNI-EXP-002-S0080,SCT002-0142,whupping,W,W,middle,16.0,16.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-2ED667F16BFD,UNI-EXP-002-S0081,SCT002-0263,wizened,W,W,lower,2.0,2.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-E051C8B9A1D9,UNI-EXP-002-S0082,SCT002-0350,windchill,W,W,lower,2.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-F55926820D4D,UNI-EXP-002-S0083,SCT002-0343,winnable,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-7E868238C967,UNI-EXP-002-S0084,SCT002-0182,witnesseth,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-F8FC2D156A93,UNI-EXP-002-S0085,SCT002-0231,warmouth,W,W,lower,3.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-60323755F5D3,UNI-EXP-002-S0086,SCT002-0270,withing,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-63B0529538D8,UNI-EXP-002-S0087,SCT002-0193,warcraft,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-B9FCFB4963E7,UNI-EXP-002-S0088,SCT002-0308,whizzle,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-4DB13162C747,UNI-EXP-002-S0089,SCT002-0167,weatherbeaten,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-FAD210C05DBE,UNI-EXP-002-S0090,SCT002-0083,warrantless,W,W,lower,2.0,2.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-D23825481A84,UNI-EXP-002-S0091,SCT002-0115,wallah,W,W,lower,2.0,2.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-47FD8B303E83,UNI-EXP-002-S0092,SCT002-0212,waggers,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-C0D018B1C6CA,UNI-EXP-002-S0093,SCT002-0069,whooper,W,W,lower,2.0,1.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-0134CF20B147,UNI-EXP-002-S0094,SCT002-0049,wicky,W,W,lower,3.0,2.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-64F9FFCF055E,UNI-EXP-002-S0095,SCT002-0258,welkin,W,W,lower,1.0,1.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-9EA4F43D4B9D,UNI-EXP-002-S0096,SCT002-0211,woodnotes,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-D53DED113F4E,UNI-EXP-002-S0097,SCT002-0334,whatsis,W,W,lower,2.0,2.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-6A4280393B8B,UNI-EXP-002-S0098,SCT002-0202,willowy,W,W,lower,3.0,3.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-B8412D40B5BA,UNI-EXP-002-S0099,SCT002-0198,wolfish,W,W,lower,2.0,2.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-58B346872A85,UNI-EXP-002-S0100,SCT002-0171,whoot,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-081F176BBD04,UNI-EXP-002-S0101,SCT002-0018,wretchedly,W,W,lower,2.0,2.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-EEE3CC608316,UNI-EXP-002-S0102,SCT002-0161,wreaker,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-C2DC091D7918,UNI-EXP-002-S0103,SCT002-0163,weirdy,W,W,lower,1.0,1.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-ADF03074B523,UNI-EXP-002-S0104,SCT002-0022,weason,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-26508A78CD6D,UNI-EXP-002-S0105,SCT002-0071,wheezily,W,W,lower,1.0,1.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-002DB7BC5E5D,UNI-EXP-002-S0106,SCT002-0116,wedgy,W,W,lower,2.0,2.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-E4EECF1791D1,UNI-EXP-002-S0107,SCT002-0292,whiffle,W,W,lower,3.0,3.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-E327FFD08DDF,UNI-EXP-002-S0108,SCT002-0061,werent,W,W,lower,2.0,2.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-8E80414E9ABA,UNI-EXP-002-S0109,SCT002-0306,wherewith,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-955D466F3DF9,UNI-EXP-002-S0110,SCT002-0107,wigmaker,W,W,lower,1.0,1.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-0D8AB1F9BF90,UNI-EXP-002-S0111,SCT002-0176,whizzers,W,W,lower,6.0,2.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-D653C306BDCC,UNI-EXP-002-S0112,SCT002-0293,wielder,W,W,lower,3.0,2.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-264E29043380,UNI-EXP-002-S0113,SCT002-0139,wode,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-A5FD1B466229,UNI-EXP-002-S0114,SCT002-0342,whosever,W,W,lower,3.0,3.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-2C409630A1A8,UNI-EXP-002-S0115,SCT002-0134,waitperson,W,W,lower,1.0,1.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-8617C7EFCF7B,UNI-EXP-002-S0116,SCT002-0058,wristbone,W,W,lower,1.0,1.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-625B85BE83A9,UNI-EXP-002-S0117,SCT002-0093,webmaster,W,W,lower,3.0,2.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-A60E6A15CB28,UNI-EXP-002-S0118,SCT002-0025,whelk,W,W,lower,3.0,2.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-8EB4EDC5B89A,UNI-EXP-002-S0119,SCT002-0046,washy,W,W,lower,2.0,2.0,2,NONE,AI_A_AI_B_AGREEMENT
EF002-682745CAD1E6,UNI-EXP-002-S0120,SCT002-0095,whinging,W,W,lower,3.0,3.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-F1ACA33FDD8D,UNI-EXP-002-S0121,SCT002-0359,stamp,CONTROL,S,high,673.0,222.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-AE33DE28DB27,UNI-EXP-002-S0122,SCT002-0169,subtext,CONTROL,S,high,32.0,26.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-27872C311ABE,UNI-EXP-002-S0123,SCT002-0207,component,CONTROL,C,high,165.0,65.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-0FCE6BE4472A,UNI-EXP-002-S0124,SCT002-0355,listen,CONTROL,L,high,28810.0,6965.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-22524B664CAE,UNI-EXP-002-S0125,SCT002-0089,singular,CONTROL,S,high,66.0,55.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-C3653BEF444B,UNI-EXP-002-S0126,SCT002-0144,bitty,CONTROL,B,high,91.0,67.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-30A5C7D09239,UNI-EXP-002-S0127,SCT002-0271,leeway,CONTROL,L,high,29.0,26.0,2,NONE,AI_C_ADJUDICATION
EF002-2BF5B58C4298,UNI-EXP-002-S0128,SCT002-0108,birdie,CONTROL,B,high,282.0,103.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-FEA2E1805B94,UNI-EXP-002-S0129,SCT002-0234,traumatic,CONTROL,T,high,138.0,119.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-6206431E6E64,UNI-EXP-002-S0130,SCT002-0337,partnership,CONTROL,P,high,284.0,181.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-19F8DD991394,UNI-EXP-002-S0131,SCT002-0162,corn,CONTROL,C,high,775.0,403.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-7EBB968FF643,UNI-EXP-002-S0132,SCT002-0105,transition,CONTROL,T,high,173.0,136.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-B4F6A053A1F9,UNI-EXP-002-S0133,SCT002-0357,bogey,CONTROL,B,high,155.0,55.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-4BBD4F7B3680,UNI-EXP-002-S0134,SCT002-0096,loyalty,CONTROL,L,high,636.0,437.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-7FE2832631C1,UNI-EXP-002-S0135,SCT002-0260,coworker,CONTROL,C,high,34.0,31.0,U,UNCLEAR,AI_A_AI_B_AGREEMENT
EF002-359B7A22CBC5,UNI-EXP-002-S0136,SCT002-0175,screwball,CONTROL,S,high,64.0,41.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-554D5C5E0EE3,UNI-EXP-002-S0137,SCT002-0084,hydrogen,CONTROL,H,high,136.0,79.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-B8A42C40F194,UNI-EXP-002-S0138,SCT002-0170,reflective,CONTROL,R,high,31.0,26.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-BDB10B92056B,UNI-EXP-002-S0139,SCT002-0213,crawl,CONTROL,C,high,868.0,469.0,1,B,AI_A_AI_B_AGREEMENT
EF002-427B7833857D,UNI-EXP-002-S0140,SCT002-0235,saucy,CONTROL,S,high,71.0,46.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-B37F4B9479CA,UNI-EXP-002-S0141,SCT002-0227,gourmet,CONTROL,G,high,115.0,95.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-267883F43641,UNI-EXP-002-S0142,SCT002-0019,powerhouse,CONTROL,P,high,31.0,25.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-3BDAFD9D9089,UNI-EXP-002-S0143,SCT002-0241,numb,CONTROL,N,high,264.0,204.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-988A210A4B63,UNI-EXP-002-S0144,SCT002-0185,fear,CONTROL,F,high,4323.0,1912.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-4D4266C83221,UNI-EXP-002-S0145,SCT002-0153,closeness,CONTROL,C,high,36.0,29.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-73E2A0030A67,UNI-EXP-002-S0146,SCT002-0021,molest,CONTROL,M,high,174.0,62.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-5B4EB6C35F63,UNI-EXP-002-S0147,SCT002-0189,taffy,CONTROL,T,high,123.0,37.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-83DE55915F17,UNI-EXP-002-S0148,SCT002-0062,germ,CONTROL,G,high,218.0,114.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-656A904D8A2B,UNI-EXP-002-S0149,SCT002-0152,stitch,CONTROL,S,high,636.0,205.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-60DCC0C7F795,UNI-EXP-002-S0150,SCT002-0132,meter,CONTROL,M,high,682.0,230.0,2,NONE,AI_A_AI_B_AGREEMENT
EF002-5A6533E8B1A2,UNI-EXP-002-S0151,SCT002-0314,tidal,CONTROL,T,high,53.0,45.0,1,C,AI_C_ADJUDICATION
EF002-2CB8D069359D,UNI-EXP-002-S0152,SCT002-0150,toot,CONTROL,T,high,269.0,72.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-DDD4A6FCC7B8,UNI-EXP-002-S0153,SCT002-0042,relativity,CONTROL,R,high,39.0,32.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-5BAC54DD141B,UNI-EXP-002-S0154,SCT002-0276,frat,CONTROL,F,high,161.0,98.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-1626312CA1E9,UNI-EXP-002-S0155,SCT002-0059,mousetrap,CONTROL,M,high,36.0,27.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-8EA1331E173A,UNI-EXP-002-S0156,SCT002-0191,surgical,CONTROL,S,high,409.0,235.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-E9CFC68E86EE,UNI-EXP-002-S0157,SCT002-0203,saliva,CONTROL,S,high,135.0,92.0,1,B,AI_A_AI_B_AGREEMENT
EF002-341440FB3FF5,UNI-EXP-002-S0158,SCT002-0322,dribble,CONTROL,D,high,93.0,56.0,1,C,AI_A_AI_B_AGREEMENT
EF002-200DDCF57D75,UNI-EXP-002-S0159,SCT002-0282,flourish,CONTROL,F,high,58.0,40.0,1,C,AI_A_AI_B_AGREEMENT
EF002-CD225DBECEAB,UNI-EXP-002-S0160,SCT002-0033,tongue,CONTROL,T,high,1751.0,1117.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-3206C7B052BF,UNI-EXP-002-S0161,SCT002-0216,mean,CONTROL,M,high,68915.0,8032.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-219F39CB0465,UNI-EXP-002-S0162,SCT002-0013,member,CONTROL,M,high,2692.0,1109.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-9ECADE6EA0CB,UNI-EXP-002-S0163,SCT002-0016,boyfriend,CONTROL,B,high,3943.0,1829.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-494610A10DBC,UNI-EXP-002-S0164,SCT002-0196,matchmaker,CONTROL,M,high,41.0,30.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-BD26A05845B4,UNI-EXP-002-S0165,SCT002-0080,pretend,CONTROL,P,high,2159.0,1565.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-3C563F0FC774,UNI-EXP-002-S0166,SCT002-0332,nighttime,CONTROL,N,high,106.0,83.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-286A9ADCC9FB,UNI-EXP-002-S0167,SCT002-0358,meringue,CONTROL,M,high,36.0,28.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-F5055A498C54,UNI-EXP-002-S0168,SCT002-0124,tile,CONTROL,T,high,193.0,78.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-9E8636A2D3B9,UNI-EXP-002-S0169,SCT002-0165,stuff,CONTROL,S,high,15687.0,5429.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-D826EAF69BCD,UNI-EXP-002-S0170,SCT002-0127,bunker,CONTROL,B,high,282.0,114.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-CCE1E9A42A7A,UNI-EXP-002-S0171,SCT002-0330,silo,CONTROL,S,high,64.0,31.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-BCCBED61E988,UNI-EXP-002-S0172,SCT002-0143,censorship,CONTROL,C,high,54.0,33.0,0,NONE,AI_A_AI_B_AGREEMENT
EF002-4D8C4D85D635,UNI-EXP-002-S0173,SCT002-0349,premonition,CONTROL,P,high,230.0,93.0,0,NONE,AI_A_AI_B_AGREEMENT
