blind_item_id,final_target_code,final_target_subdomain,final_primary_or_common_sense_target,provenance
SCT002-0039,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0040,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0041,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0042,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0043,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0044,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0045,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0046,2,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0047,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0048,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0049,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0050,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0051,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0052,1,C,yes,AI_A_AI_B_AGREEMENT
SCT002-0053,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0054,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0055,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0056,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0057,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0058,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0059,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0060,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0061,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0062,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0063,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0064,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0065,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0066,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0067,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0068,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0069,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0070,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0071,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0072,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0073,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0074,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0075,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0076,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0077,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0078,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0079,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0080,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0081,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0082,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0083,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0084,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0085,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0086,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0087,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0088,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0089,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0090,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0091,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0092,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0093,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0094,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0095,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0096,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0097,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0098,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0099,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0100,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0101,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0102,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0103,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0104,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0105,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0106,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0107,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0108,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0109,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0110,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0111,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0112,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0113,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0114,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0115,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0116,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0117,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0118,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0119,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0120,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0121,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0122,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0123,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0124,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0125,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0126,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0127,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0128,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0129,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0130,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0131,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0132,2,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0133,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0134,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0135,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0136,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0137,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0138,1,C,no,AI_A_AI_B_AGREEMENT
SCT002-0139,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0140,1,B,yes,AI_A_AI_B_AGREEMENT
SCT002-0141,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0142,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0143,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0144,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0145,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0146,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0147,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0148,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0149,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0150,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0151,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0152,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0153,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0154,1,C,yes,AI_A_AI_B_AGREEMENT
SCT002-0155,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0156,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0157,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0158,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0159,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0160,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0161,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0162,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0163,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0164,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0165,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0166,2,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0167,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0168,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0169,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0170,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0171,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0172,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0173,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0174,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0175,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0176,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0177,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0178,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0179,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0180,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0181,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0182,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0183,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0184,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0185,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0186,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0187,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0188,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0189,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0190,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0191,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0192,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0193,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0194,2,NONE,no,AI_C_ADJUDICATION
SCT002-0195,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0196,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0197,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0198,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0199,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0200,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0201,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0202,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0203,1,B,yes,AI_A_AI_B_AGREEMENT
SCT002-0204,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0205,1,B,yes,AI_A_AI_B_AGREEMENT
SCT002-0206,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0207,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0208,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0209,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0210,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0211,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0212,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0213,1,B,no,AI_A_AI_B_AGREEMENT
SCT002-0214,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0215,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0216,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0217,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0218,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0219,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0220,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0221,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0222,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0223,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0224,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0225,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0226,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0227,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0228,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0229,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0230,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0231,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0232,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0233,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0234,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0235,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0236,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0237,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0238,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0239,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0240,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0241,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0242,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0243,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0244,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0245,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0246,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0247,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0248,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0249,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0250,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0251,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0252,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0253,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0254,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0255,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0256,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0257,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0258,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0259,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0260,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0261,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0262,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0263,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0264,1,A,yes,AI_A_AI_B_AGREEMENT
SCT002-0265,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0266,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0267,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0268,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0269,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0270,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0271,2,NONE,no,AI_C_ADJUDICATION
SCT002-0272,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0273,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0274,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0275,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0276,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0277,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0278,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0279,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0280,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0281,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0282,1,C,no,AI_A_AI_B_AGREEMENT
SCT002-0283,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0284,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0285,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0286,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0287,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0288,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0289,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0290,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0291,1,B,no,AI_A_AI_B_AGREEMENT
SCT002-0292,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0293,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0294,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0295,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0296,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0297,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0298,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0299,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0300,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0301,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0302,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0303,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0304,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0305,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0306,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0307,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0308,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0309,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0310,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0311,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0312,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0313,1,C,no,AI_A_AI_B_AGREEMENT
SCT002-0314,1,C,yes,AI_C_ADJUDICATION
SCT002-0315,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0316,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0317,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0318,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0319,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0320,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0321,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0322,1,C,no,AI_A_AI_B_AGREEMENT
SCT002-0323,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0324,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0325,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0326,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0327,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0328,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0329,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0330,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0331,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0332,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0333,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0334,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0335,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0336,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0337,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0338,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0339,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0340,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0341,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0342,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0343,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0344,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0345,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0346,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0347,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0348,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0349,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0350,U,UNCLEAR,unclear,AI_A_AI_B_AGREEMENT
SCT002-0351,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0352,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0353,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0354,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0355,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0356,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0357,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0358,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0359,0,NONE,no,AI_A_AI_B_AGREEMENT
SCT002-0360,0,NONE,no,AI_A_AI_B_AGREEMENT
